NOMBRE,LINK MAPS,HTML
Barrio de Analco,https://maps.app.goo.gl/TzaMKGacQsimNYVG6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7543.221114933816!2d-98.19169665!3d19.036875000000002!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0eee08bff4b%3A0x490b3db638ded79c!2sBarrio%20de%20Analco%2C%20Heroica%20Puebla%20de%20Zaragoza%2C%20Pue.!5e0!3m2!1ses!2smx!4v1782597639884!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Barrio de El Alto,https://maps.app.goo.gl/QKG1z9S3z7z4oqUq8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d299.73904054623006!2d-98.18842483419989!3d19.044754053247782!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0fad57f058f%3A0x26133e65d7e9b94d!2zTWVyY2FkbyBkZSBDb21pZGEgeSBNw7pzaWNhIFTDrXBpY2Eg4oCcRWwgQWx0b-KAnQ!5e0!3m2!1ses-419!2smx!4v1782597740319!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Bazar Los Sapos,https://maps.app.goo.gl/cpGnjBFvjNsDbYCL9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.5117544028008!2d-98.19586079999999!3d19.0412245!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e89f087eab%3A0x67140865c37daec2!2sBazar%20los%20Sapos!5e0!3m2!1ses!2smx!4v1782597761570!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Bello y Zetina,https://maps.app.goo.gl/ZFJpu185Z1vitzmU9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7542.776138914921!2d-98.19749320000001!3d19.046667999999997!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc626e32c78cd%3A0x1883e9c2aad68ec4!2sMuseo%20Jos%C3%A9%20Luis%20Bello%20y%20Zetina!5e0!3m2!1ses!2smx!4v1782597844958!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Biblioteca Palafoxiana,https://maps.app.goo.gl/ndREt4HCJQTRFR9K8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.488717296141!2d-98.1987439!3d19.0422385!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e7f1758343%3A0x9ad725ad37964034!2sBiblioteca%20Palafoxiana!5e0!3m2!1ses!2smx!4v1782597886581!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Calle de los Dulces,https://maps.app.goo.gl/6Cr5xQSiiy4xi2La9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d9575.805552696444!2d-98.1966106!3d19.0463988!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e69aadfe43%3A0x6aa618b0e85bca9a!2sLa%20Calle%20De%20Los%20Dulces!5e1!3m2!1ses-419!2smx!4v1782597992090!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Callejón de los Sapos,https://maps.app.goo.gl/mkzsgviwDuQHxwYH7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.5224682996577!2d-98.19647810000001!3d19.040752899999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0dd66e54707%3A0x71e9a006a0b22117!2sCallej%C3%B3n%20de%20los%20Sapos!5e0!3m2!1ses!2smx!4v1782598016685!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Capilla de Dolores,https://maps.app.goo.gl/SpnGxkrbPZAbVvTm7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d9575.860059335213!2d-98.19132809999999!3d19.0454541!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e4570500ad%3A0x3378934af8fffefe!2sCapilla%20de%20Dolores!5e1!3m2!1ses-419!2smx!4v1782598043068!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Capilla del Cirineo,https://maps.app.goo.gl/MWs5vVU6h7gZ398X8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d9575.865961612728!2d-98.1887828!3d19.045351800000002!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e4d3ee66fb%3A0x94d8c5d0545b09f5!2sCapilla%20del%20Cireneo!5e1!3m2!1ses-419!2smx!4v1782598064911!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Casa Aguayo,https://maps.app.goo.gl/s6fNYMV34LjrQ6Pv6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4787.928218012792!2d-98.1878855!3d19.0455169!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0fb2fe98daf%3A0xd94e743bd5fdfc8!2sCasa%20Aguayo!5e1!3m2!1ses-419!2smx!4v1782598084412!5m2!1ses-419!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
Casa de cultura,https://maps.app.goo.gl/9vfgcamkhaA5LRXP7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d1198.2806551041115!2d-98.19957217251842!3d19.042418372799577!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e7f93d10dd%3A0xbf22a997787e5d19!2sCasa%20de%20la%20Cultura%20Prof.%20Pedro%20%C3%81ngel%20Palou!5e0!3m2!1ses!2smx!4v1782598111056!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>"
