nombre foto,nombre negocio,link,giro,ubicacion_google_maps,mapa_html,coordenadas,membresia_negocio,pago
acaso,Acaso Homes,https://www.acasohomes.com/es/,Hospedaje,https://maps.app.goo.gl/HBBAfCkHSp3uJoMS9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d235.72169211887893!2d-98.19841214443596!3d19.03966977791668!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc155d145e183%3A0x3aeb512687f579a6!2sACASO%20HOMES!5e0!3m2!1ses!2smx!4v1782161133006!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.039485505391777, -98.19849597590213",gran,transferencia
alto,Barrio del Alto,https://www.facebook.com/profile.php?id=100064926900530,Tours,https://maps.app.goo.gl/CgpiK6VkQKWNXr566,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.4318464820485!2d-98.18831379999999!3d19.0447415!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0fad57f058f%3A0x26133e65d7e9b94d!2zTWVyY2FkbyBkZSBDb21pZGEgeSBNw7pzaWNhIFTDrXBpY2Eg4oCcRWwgQWx0b-KAnQ!5e0!3m2!1ses!2smx!4v1782161196432!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.044858021720934, -98.18852944084522",pequeña,efectivo
amparo,Museo Amparo,https://museoamparo.com,Museo,https://maps.app.goo.gl/25HLVRWXDKyZ9Gzx9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.518524452161!2d-98.19844529999999!3d19.040926499999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e80ee17c7d%3A0x81b13f9dfc55a353!2sMuseo%20Amparo!5e0!3m2!1ses!2smx!4v1782161224398!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.040827439820088, -98.1987260459252",mediana,transferencia
angeles,Galería Los Ángeles,https://www.instagram.com/galerialosangeles_/,Arte,https://maps.app.goo.gl/4isxqFfNk1oRY5oV9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7543.011240754732!2d-98.1952405!3d19.0414945!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e89c024243%3A0xef29fdb6fe0fe3cc!2zR2FsZXLDrWEgTG9zIMOBbmdlbGVzIMKu!5e0!3m2!1ses!2smx!4v1782161235683!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.041488948426792, -98.19523887498804",pequeña,transferencia
arboterra,ArboTerra,https://arboterra.com.mx,Tours,https://maps.app.goo.gl/ZmFJJQKnb7FcvNGg6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.8822599414098!2d-98.18812679999999!3d19.0249092!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc08df746002b%3A0x7b87ad0594ed26d!2sArboterra!5e0!3m2!1ses!2smx!4v1782161270327!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.02490404080601, -98.18812042285882",gran,transferencia
attico,ÁTTICO 303,https://attico-303.com,Alimentos y Bebidas,https://maps.app.goo.gl/8wqzpPTB2WUGenKB9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.459827165052!2d-98.20183328839582!3d19.0435100529157!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e655555555%3A0x92ea39a17b48eb8!2s%C3%81ttico%20303!5e0!3m2!1ses!2smx!4v1784058423315!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""strict-origin-when-cross-origin""></iframe>","19.0435011789684, -98.19924800455429",pequeña,transferencia
bakery,Bakery café,https://www.facebook.com/Bakerycafepuebla/?locale=es_LA,Alimentos y Bebidas,https://maps.app.goo.gl/ZBekAULMrMffrpa78,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.5299106272296!2d-98.1967583!3d19.040425300000003!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc6dbb38d1989%3A0xd0a64b2c509f4e8c!2sBakery%20Cafe%20y%20El%20Olivo%20Pizza%20y%20Huerto!5e0!3m2!1ses!2smx!4v1782161283090!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.0404552015222, -98.19673276795794",pequeña,transferencia
banyan,Banyan Tree,https://www.banyantree.com/es/mexico/puebla,Hotel,https://maps.app.goo.gl/9MDzv1SLkoDFHi236,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d3771.41654716364!2d-98.191817!3d19.0454148!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e4da4bf447%3A0x37cc61d3d16b1075!2sBanyan%20Tree%20Puebla!5e0!3m2!1ses!2smx!4v1782161293717!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.045410689569742, -98.18927784165982",mediana,transferencia
bere,La Berenjena,https://www.laberenjenapizza.com,Alimentos y Bebidas,https://maps.app.goo.gl/1LE5ZRqvvF7i2onu7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.5008176041783!2d-98.19535479999999!3d19.0417059!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e62025929b%3A0x5e282038a17a9422!2sLA%20BERENJENA%20CENTRO!5e0!3m2!1ses!2smx!4v1782161307016!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.04173710707178, -98.1953460428179",pequeña,transferencia
cartesiano,Cartesiano,http://www.cartesiano360.com/?partner=13037&utm_source=google&utm_medium=organic&utm_campaign=MyBusiness,Hotel,https://maps.app.goo.gl/sVrcFTNB3w36h2xH9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3771.5148100249594!2d-98.194239!3d19.041090000000004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85cfc0e8b2ec9753%3A0x71f8c58bf7fc4c36!2sCartesiano%20-%20Boutique%20%26%20Wellness%20Hotel!5e0!3m2!1ses!2smx!4v1782161319338!5m2!1ses!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","19.041742813470627, -98.19533732310953",gran,transferencia 
